SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
87	D15	jimmy161209	FAM	Unknown	34.028847			4.9587677E-4						Automatic Ct		Automatic			Automatic	0.051114295													
88	D16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
89	D17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
90	D18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
91	D19	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
92	D20	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
93	D21	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
94	D22	jimmy161209	FAM	Unknown	34.367443			4.046542E-4						Automatic Ct		Automatic			Automatic	0.051114295													
95	D23	jimmy161209	FAM	Unknown	34.088768			4.7835382E-4						Automatic Ct		Automatic			Automatic	0.051114295													
96	D24	jimmy161209	FAM	Unknown	34.503937			3.728148E-4						Automatic Ct		Automatic			Automatic	0.051114295													
97	E1	jimmy161209	FAM	Standard	Undetermined			1.0E-4						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
98	E2	jimmy161209	FAM	Standard	Undetermined			1.0E-4						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
99	E3	jimmy161209	FAM	Standard	36.403896			1.0E-4						Automatic Ct		Automatic			Automatic	0.051114295													
100	E4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
101	E5	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
102	E6	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
103	E7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
104	E8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
105	E9	jimmy161209	FAM	Unknown	35.722607			1.793586E-4						Automatic Ct		Automatic			Automatic	0.051114295													
106	E10	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
107	E11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
108	E12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
109	E13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
110	E14	jimmy161209	FAM	Unknown	34.542213			3.643447E-4						Automatic Ct		Automatic			Automatic	0.051114295													
111	E15	jimmy161209	FAM	Unknown	34.515423			3.7025262E-4						Automatic Ct		Automatic			Automatic	0.051114295													
