SDS 2.3	Background Spectra	1.0
Well Nb	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
51	824.8571	840.0714	843.2143	854.3571	855.2143	872.2143	880.4286	885.2857	891.0	899.6429	901.1429	905.0714	900.5	906.4286	898.9286	899.9286	890.7143	888.7857	886.9286	883.7143	886.2857	883.7857	882.5	879.2857	878.4286	878.4286	874.0	877.2857	877.2143	872.8571	870.3571	872.3571
52	825.2857	837.4286	841.7143	857.5	868.4286	874.9286	887.5	901.0	909.3571	912.7143	912.0714	920.4286	919.2857	919.6429	912.0	908.5714	902.7143	906.7143	905.8571	898.6429	898.1429	891.6429	890.7143	885.5714	889.1429	888.5714	885.2857	890.3571	884.0714	880.2857	876.2857	876.0
53	823.0714	836.0714	848.2143	853.6429	873.3571	875.7143	889.9286	893.7857	904.9286	915.5714	913.9286	916.2857	919.7143	920.7857	911.0	909.7143	903.1429	900.2143	896.0714	898.5	892.7143	894.0714	894.0	887.7857	890.8571	886.0	881.7857	882.2143	883.2143	881.3571	876.7857	874.4286
54	824.2857	837.8571	849.2143	861.7143	867.1429	875.1429	887.1429	897.0	909.5	913.2857	916.1429	918.6429	917.7143	919.4286	911.8571	910.0	909.1429	902.7143	895.5714	897.1429	890.7857	895.1429	889.1429	894.9286	885.8571	887.7857	883.2857	882.1429	878.1429	881.5714	876.2143	872.7143
55	818.9286	837.7857	853.3571	863.0	857.5	875.7857	881.5	894.9286	898.3571	904.2143	909.5	913.7857	909.4286	906.3571	906.0714	902.0	899.2143	895.7857	891.5	894.7857	886.7143	886.8571	887.1429	885.8571	878.9286	880.5714	880.6429	876.7857	882.1429	873.5	872.8571	869.2857
56	824.6429	837.7857	853.3571	861.8571	869.0714	881.9286	893.0714	902.3571	912.7857	919.7857	927.3571	923.8571	928.5714	922.4286	917.9286	917.2857	912.9286	912.5714	903.0	902.4286	896.2143	899.0	896.0714	895.8571	893.1429	895.1429	892.5	892.1429	888.5714	881.5714	885.9286	879.5714
57	816.7857	840.9286	856.2143	860.7143	868.0	874.1429	889.7857	892.4286	907.0	909.7857	914.5714	916.0	916.5	915.5714	912.2143	906.4286	905.3571	902.7143	898.3571	900.7857	893.2857	895.2143	891.6429	889.0714	889.2143	887.1429	886.7143	886.6429	876.5	881.2857	876.7857	878.2143
58	817.0	839.9286	845.8571	862.7857	859.0	867.5714	881.7857	887.2857	897.9286	902.5	909.1429	911.2143	905.2143	904.8571	901.7857	904.6429	900.1429	895.2857	890.0714	888.3571	889.7143	888.7143	881.5	881.7143	881.2143	879.1429	880.9286	884.2143	874.9286	877.2143	871.2857	871.1429
59	819.0	839.8571	854.2857	861.3571	859.2143	871.2143	883.0	895.0	900.1429	903.8571	907.6429	905.1429	908.2143	902.4286	902.1429	904.3571	896.5	892.5714	895.5	890.5	891.9286	886.9286	887.5	883.1429	880.2143	880.1429	877.3571	874.7857	875.1429	875.1429	870.5	870.0
60	820.1429	840.7143	853.9286	861.7857	867.7143	875.1429	883.2143	891.3571	896.5	903.4286	910.7857	911.5	917.2143	908.1429	905.4286	903.7143	901.2857	896.5	897.9286	896.6429	890.5	892.5714	879.2143	888.2143	884.7857	884.7857	883.3571	875.2143	880.7143	870.2143	874.9286	867.8571
61	824.9286	839.2857	852.6429	859.8571	868.1429	880.0714	886.0714	895.3571	900.0	907.7143	909.7143	912.2857	906.7143	911.0714	908.3571	900.6429	898.5	895.1429	890.7143	893.8571	892.2857	891.9286	887.7857	884.4286	887.0714	885.2143	881.4286	877.5	877.4286	874.5714	873.2143	872.5
62	819.5	838.5714	849.7857	859.5	867.4286	876.9286	882.2857	893.2857	904.3571	911.6429	914.1429	912.2857	916.6429	910.0	908.5	908.1429	899.9286	896.4286	888.6429	900.7857	894.0	893.2857	892.0	887.7857	884.2143	887.0714	879.1429	887.0714	875.6429	876.5714	873.6429	868.5714
63	822.5	843.7857	861.0714	871.7857	872.0	879.7143	891.7143	900.8571	912.2857	914.7143	925.0714	920.5714	918.7857	919.5714	920.5714	914.7143	907.3571	905.4286	902.8571	902.5714	892.9286	899.2143	896.5714	892.5	888.9286	888.1429	886.2857	887.8571	886.7143	877.6429	881.2143	873.4286
64	827.8571	842.6429	856.0	864.5	868.3571	885.5	891.7857	902.5	918.2857	919.9286	924.2143	923.8571	927.6429	922.8571	919.9286	920.6429	911.9286	908.5	904.5714	903.6429	906.6429	899.4286	895.8571	898.9286	889.9286	896.2857	888.2143	890.3571	888.5714	887.0	880.7857	874.0714
65	824.7143	849.5714	862.0714	866.9286	869.0	878.8571	887.2143	896.1429	906.1429	906.3571	917.7143	913.5	913.5	911.1429	910.4286	910.9286	902.3571	895.8571	897.4286	893.2857	889.0714	886.5	888.3571	881.2857	887.8571	882.7143	886.2857	877.7857	881.5	882.7143	876.5	874.9286
66	827.4286	845.9286	864.8571	860.6429	874.0714	880.5714	891.1429	903.7143	908.0	915.0714	920.4286	922.6429	916.2143	917.3571	914.7143	913.5714	905.5	905.6429	904.0714	900.1429	898.0	898.6429	893.5	889.9286	890.8571	890.7857	888.3571	883.7143	888.1429	881.9286	879.6429	876.5714
67	813.8571	837.0	855.3571	861.5714	869.2143	875.7857	888.7143	898.8571	904.7143	917.0714	916.2857	922.1429	925.2143	919.0	918.1429	909.5	907.7143	901.2143	901.7857	897.4286	893.7143	893.0	893.8571	888.2857	892.0714	885.7857	881.7857	885.5714	882.7857	882.2857	878.4286	876.7143
68	826.8571	852.2857	873.8571	873.8571	869.3571	879.0	889.5	905.0	912.1429	920.3571	923.2143	921.7143	923.7143	921.0	915.3571	913.7857	909.3571	904.3571	902.8571	899.7143	897.4286	898.5714	898.3571	894.2143	888.9286	887.2143	887.2857	885.4286	884.9286	882.2857	879.1429	879.2857
69	823.1429	843.4286	858.1429	872.2857	877.3571	887.6429	899.3571	912.0714	922.2143	927.0714	932.2143	930.3571	932.9286	926.7143	926.1429	920.5714	910.7143	921.0	915.7857	909.0	913.4286	908.7857	901.9286	901.6429	901.7143	900.7143	895.7143	898.7857	897.8571	894.4286	892.5	885.3571
70	822.2143	835.5714	859.3571	867.3571	871.2857	883.5714	889.2143	901.7857	902.2857	913.2143	920.0	918.0	922.2857	915.2857	918.1429	916.5714	911.5	905.7143	908.6429	905.0714	901.0	899.7143	894.0	893.8571	891.0714	887.3571	884.1429	886.1429	883.5714	882.7857	877.0	878.0714
71	824.0	852.9286	866.7857	877.5	872.1429	882.3571	889.5714	896.5	911.1429	910.7857	921.7857	915.8571	916.0714	914.2857	911.7857	910.5714	905.2857	899.2857	901.9286	900.2857	898.9286	891.8571	894.2857	888.5	887.7857	885.5	888.2143	888.3571	878.8571	879.7857	877.3571	874.2143
72	824.8	840.73334	858.6	873.6667	882.4	891.3333	900.86664	908.2	925.93335	932.93335	935.3333	936.4667	934.93335	929.3333	934.4667	928.8	920.4	923.8	917.5333	916.2	912.3333	914.13336	904.2	903.93335	902.93335	904.3333	904.2	897.2	893.4	890.73334	890.6	881.4667
73	825.0714	834.4286	845.5714	856.0	866.2857	881.7143	893.5	894.7857	896.0714	908.5714	911.5714	912.7857	915.1429	914.9286	911.1429	902.6429	900.9286	898.0	897.7143	895.6429	897.8571	891.3571	896.3571	879.5714	885.5	890.4286	886.5	879.7143	881.8571	876.9286	879.1429	874.0714
