SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161209
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/9/16 7:24:21 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
L9	Flagged	L9	jimmy161209	Unknown	Undetermined		0.0						true		true			true			true	
L10	Flagged	L10	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
L11	Flagged	L11	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L12	Flagged	L12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L13	Flagged	L13	jimmy161209	Unknown	38.49083		6.8455705E-7						true									
L14	Flagged	L14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L15	Flagged	L15	jimmy161209	Unknown	Undetermined		0.0						true								true	
L16	Flagged	L16	jimmy161209	Unknown	2.6627147		844.11316						true		true							
L17	Flagged	L17	jimmy161209	Unknown	36.93852		1.6954751E-6						true									
L18	Flagged	L18	jimmy161209	Unknown	24.108465		0.0030533494						true		true							
L19	Flagged	L19	jimmy161209	Unknown	Undetermined		0.0						true		true							
L20	Flagged	L20	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L21	Flagged	L21	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L22	Flagged	L22	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
L23	Flagged	L23	jimmy161209	Unknown	39.653717		3.4700798E-7						true		true							
L24	Flagged	L24	jimmy161209	Unknown	Undetermined		0.0						true		true							
M1	Flagged	M1	jimmy161209	Standard	Undetermined		1.0E-6								true			true				
M2	Flagged	M2	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
M3	Flagged	M3	jimmy161209	Standard	Undetermined		1.0E-6								true			true				
M4	Flagged	M4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
M5	Flagged	M5	jimmy161209	Standard	Undetermined		1.0E-6								true			true				
M6	Flagged	M6	jimmy161209	Unknown	6.6970453		79.93437						true		true							
M7	Flagged	M7	jimmy161209	Unknown	Undetermined		0.0								true			true				
M8	Flagged	M8	jimmy161209	Unknown	Undetermined		0.0						true		true							
M9	Flagged	M9	jimmy161209	Unknown	Undetermined		0.0								true			true				
M10	Flagged	M10	jimmy161209	Unknown	34.717186		6.2076915E-6						true		true							
M11	Flagged	M11	jimmy161209	Unknown	Undetermined		0.0								true			true				
M12	Flagged	M12	jimmy161209	Unknown	5.061661		207.8234						true		true							
M13	Passed	M13	jimmy161209	Unknown	34.09925		8.906861E-6															
M14	Flagged	M14	jimmy161209	Unknown	40.21508		2.4997675E-7						true		true							
M15	Flagged	M15	jimmy161209	Unknown	Undetermined		0.0								true			true				
M16	Flagged	M16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
M17	Passed	M17	jimmy161209	Unknown	34.24531		8.178299E-6															
M18	Flagged	M18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
M19	Flagged	M19	jimmy161209	Unknown	Undetermined		0.0								true			true				
M20	Flagged	M20	jimmy161209	Unknown	Undetermined		0.0						true		true							
M21	Flagged	M21	jimmy161209	Unknown	Undetermined		0.0								true			true				
M22	Flagged	M22	jimmy161209	Unknown	9.08032		19.861113						true		true							
M23	Passed	M23	jimmy161209	Unknown	34.892193		5.6043364E-6															
M24	Flagged	M24	jimmy161209	Unknown	22.330158		0.008629835						true		true							
N1	Flagged	N1	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N2	Flagged	N2	jimmy161209	Unknown	17.471735		0.14749393						true		true							
N3	Flagged	N3	jimmy161209	Unknown	Undetermined		0.0						true			true	true	true				
N4	Flagged	N4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N5	Flagged	N5	jimmy161209	Unknown	6.265432		102.86098						true		true							
N6	Flagged	N6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N7	Flagged	N7	jimmy161209	Unknown	4.1935844		345.11142						true		true							
N8	Flagged	N8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N9	Flagged	N9	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N10	Flagged	N10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N11	Flagged	N11	jimmy161209	Unknown	Undetermined		0.0						true		true			true			true	
N12	Flagged	N12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N13	Flagged	N13	jimmy161209	Unknown	Undetermined		0.0						true								true	
N14	Flagged	N14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N15	Flagged	N15	jimmy161209	Unknown	38.39176		7.253491E-7						true									
N16	Flagged	N16	jimmy161209	Unknown	9.406703		16.412985						true		true							
N17	Flagged	N17	jimmy161209	Unknown	Undetermined		0.0						true					true				
N18	Flagged	N18	jimmy161209	Unknown	19.974945		0.034167405						true		true							
N19	Flagged	N19	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N20	Flagged	N20	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N21	Flagged	N21	jimmy161209	Unknown	Undetermined		0.0						true		true			true			true	
N22	Flagged	N22	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
N23	Flagged	N23	jimmy161209	Unknown	Undetermined		0.0						true								true	
N24	Flagged	N24	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
O1	Flagged	O1	jimmy161209	NTC	Undetermined		0.0								true							
O2	Flagged	O2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O3	Flagged	O3	jimmy161209	NTC	Undetermined		0.0								true							
O4	Flagged	O4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
