plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
O,4,097,,sample,1,O4
O,5,097,,sample,2,O5
O,6,097,,sample,3,O6
O,7,265,,sample,1,O7
O,8,265,,sample,2,O8
O,9,265,,sample,3,O9
O,10,364,,sample,1,O10
O,11,364,,sample,2,O11
O,12,364,,sample,3,O12
O,13,448,,sample,1,O13
O,14,448,,sample,2,O14
O,15,448,,sample,3,O15
O,16,493,,sample,1,O16
O,17,493,,sample,2,O17
O,18,493,,sample,3,O18
O,19,570,,sample,1,O19
O,20,570,,sample,2,O20
O,21,570,,sample,3,O21
O,22,598,,sample,1,O22
O,23,598,,sample,2,O23
O,24,598,,sample,3,O24
P,1,010,,sample,1,P1
P,2,010,,sample,2,P2
P,3,010,,sample,3,P3
P,4,227,,sample,1,P4
P,5,227,,sample,2,P5
P,6,227,,sample,3,P6
P,7,327,,sample,1,P7
P,8,327,,sample,2,P8
P,9,327,,sample,3,P9
P,10,365,,sample,1,P10
P,11,365,,sample,2,P11
P,12,365,,sample,3,P12
P,13,449,,sample,1,P13
P,14,449,,sample,2,P14
P,15,449,,sample,3,P15
P,16,494,,sample,1,P16
P,17,494,,sample,2,P17
P,18,494,,sample,3,P18
P,19,571,,sample,1,P19
P,20,571,,sample,2,P20
P,21,571,,sample,3,P21
P,22,,,,1,P22
P,23,,,,2,P23
P,24,,,,3,P24
