date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-06-13,1026,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",36,after seine 1,1,,Jimmy Kralj,,,089,,1.4,
2016-06-13,1027,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",05,after seine 1,2,,Jimmy Kralj,,,090,solids made it past membrane,1.4,
2016-06-13,1029,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",31,after seine 1,3,,Jimmy Kralj,,,091,,1.4,
2016-06-13,1040,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",30,after seine 2,4,,Jimmy Kralj,,,092,,1.4,
2016-06-13,1041,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",47,after seine 2,5,,Jimmy Kralj,,,093,,1.4,
2016-06-13,1042,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",41,after seine 2,6,,Jimmy Kralj,,,094,,1.4,
2016-06-13,1043,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",22,after seine 2,7,,,,,,did not filter,,
2016-06-13,1140,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",25,after seine 1,1,,Jimmy Kralj,,,096,,1.4,
2016-06-13,1143,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",48,after seine 1,2,,Jimmy Kralj,,,097,,1.4,
2016-06-13,1144,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",28,after seine 1,3,,Jimmy Kralj,,,098,,1.4,
2016-06-13,1152,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",07,after seine 2,4,,Jimmy Kralj,1820,,099,solids made it past membrane,1.4,
2016-06-13,1153,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",04,after seine 2,5,,Jimmy Kralj,,,100,solids made it past membrane,1.4,
2016-06-13,1154,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",14,after seine 2,6,,Jimmy Kralj,,,101,,1.4,
2016-06-13,1155,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",33,after seine 2,7,,,,,,did not filter,,
2016-06-13,1330,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",01,after seine 1,1,,Jimmy Kralj,,,102,,1.4,
2016-06-13,1331,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",26,after seine 1,2,,Jimmy Kralj,,,103,,1.4,
2016-06-13,1332,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",03,after seine 1,3,,Jimmy Kralj,,,104,,1.4,
2016-06-13,1334,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",24,after seine 2,4,,Jimmy Kralj,,,105,,1.4,
2016-06-13,1335,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",11,after seine 2,5,,Jimmy Kralj,,,106,,1.4,
2016-06-13,1336,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",43,after seine 2,6,,,,,,did not filter,,
2016-06-13,1401,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",20,after seine 1,1,,Jimmy Kralj,,,107,,1.4,
2016-06-13,1402,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",32,after seine 1,2,,Jimmy Kralj,,,108,,1.4,
2016-06-13,1403,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",40,after seine 1,3,,Jimmy Kralj,,,109,,1.4,
2016-06-13,1411,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",42,after seine 2,4,,Jimmy Kralj,,,110,,1.4,
2016-06-13,1413,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",44,after seine 2,5,,Jimmy Kralj,,,111,,1.4,
2016-06-13,1414,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",37,after seine 2,6,,Jimmy Kralj,,,112,,1.4,
2016-06-13,1415,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",27,after seine 2,7,,,,,,did not filter,,
2016-06-13,,water-deionized,,"Ole Shelton, LM, LB, Jimmy Kralj",deionized water,,1,,Jimmy Kralj,,,095,,1.4,
2016-06-15,0907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",20,after seine 1,1,,Jimmy O'Donnell,,,113,,1.4,
2016-06-15,0907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",39,after seine 1,2,,Jimmy O'Donnell,,,114,,1.4,
2016-06-15,0908,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",23,after seine 1,3,,Jimmy O'Donnell,,,115,,1.4,
2016-06-15,0909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",07,after seine 1,4,,Jimmy O'Donnell,1620,,119,,1.4,
2016-06-15,0909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",04,after seine 1,5,,Jimmy O'Donnell,,,117,,1.4,
2016-06-15,0910,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",47,after seine 1,6,,Jimmy O'Donnell,,,118,,1.4,
2016-06-15,1000,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",31,,1,,Jimmy O'Donnell,,,116,,1.4,
2016-06-15,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",01,,2,,Jimmy O'Donnell,,,121,,1.4,
2016-06-15,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",11,,3,,Jimmy O'Donnell,,,122,,1.4,
2016-06-15,1007,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",24,,4,,Jimmy O'Donnell,,,123,,1.4,
2016-06-15,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",37,,5,,Jimmy O'Donnell,,,124,,1.4,
2016-06-15,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",43,,6,,Jimmy O'Donnell,,,125,,1.4,
2016-06-15,1116,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",08,,1,,Jimmy O'Donnell,,,126,,1.4,
2016-06-15,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",42,,2,,Jimmy O'Donnell,,,127,"piece of filter broke, dropped, added back in",1.4,
2016-06-15,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",32,,3,,Jimmy O'Donnell,,,128,,1.4,
2016-06-15,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",41,,4,,Jimmy O'Donnell,,,129,,1.4,
2016-06-15,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",44,,5,,Jimmy O'Donnell,,,130,,1.4,
2016-06-15,1119,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",27,,6,,Jimmy O'Donnell,1812,,131,,1.4,
2016-06-15,1203,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",33,,1,,Jimmy O'Donnell,1827,,132,,1.4,
2016-06-15,1204,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",48,,2,,Jimmy O'Donnell,1829,,133,,1.4,
2016-06-15,1205,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",17,,3,,Jimmy O'Donnell,,,134,,1.4,
