date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box,EXTRACT
6/15/16,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",36,,6,,Jimmy O'Donnell,,,137,,1.4,,
6/15/16,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1700,,120,,1.4,,
6/3/16,,water-aquarium,Aquarium323,Jimmy O'Donnell,,Danio rerio; Microsorum pteropus,1,,Jimmy O'Donnell,,,AQ323-160603,,5,,
6/3/16,,water-aquarium,AquariumJimmy,Jimmy O'Donnell,,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,,Jimmy O'Donnell,,,AQJO-160603A,,5,,
6/3/16,,water-aquarium,AquariumJimmy,Jimmy O'Donnell,,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,,Jimmy O'Donnell,,,AQJO-160603B,,5,,
2/14/17,815,water-marine,Cattail,Jimmy O'Donnell,CT01,from shore side approx 3m upstream from post,1,,Abi Wells,1336,,138,,1,170215,Y
2/14/17,816,water-marine,Cattail,Jimmy O'Donnell,CT02,from shore side approx 3m upstream from post,2,,Jimmy O'Donnell,1340,,139,,1,170215,Y
2/14/17,817,water-marine,Cattail,Jimmy O'Donnell,CT03,from shore side approx 3m upstream from post,3,,Jimmy O'Donnell,1340,,140,,1,170215,Y
2/14/17,818,water-marine,Cattail,Jimmy O'Donnell,CT04,from shore side approx 3m upstream from post,4,,Jimmy O'Donnell,1340,,141,,1,170215,Y
2/14/17,819,water-marine,Cattail,Jimmy O'Donnell,CT05,from shore side approx 3m upstream from post,5,,Abi Wells,1350,,142,,1,170215,
2/14/17,838,water-marine,Grain of Sand,Jimmy O'Donnell,GS01,from upstream side approx 2m from post,1,JimmyPhone,Jimmy O'Donnell,1320,,143,,1,170215,Y
